"Forest_Perc","Crop_Perc","DSNUM","slope_calc","sed_rate_mm_yr","surface_area_m2"
67.1296081542969,1.18867695331573,"1001",2.9929099,13.3,0.011564514
64.3190994262695,0.077497199177742,"11001",3.99225,14,0.0077838075
82.6588973999023,0.64551442861557,"11002",12.0396996,2.3,0.043638743
82.6588973999023,0.64551442861557,"11003",12.0396996,80,0.010230147
50.7883682250977,0.564659595489502,"11004",2.74985,4.7,0.0317529925
82.1483459472656,0.3535395860672,"12001",10.0047998,13.1,0.01433209
46.2016639709473,1.11479461193085,"12003",3.07307,28.2,0.0028417075
57.0625085790568,7.38068803386646,"12004",5.18560169743504,36.6,1.65510929
53.0522575378418,0.122355714440346,"12005",6.0956998,6,0.24018606
34.3466300964355,0.0684158951044083,"12006",2.6983199,25.4,0.0422796655
49.4821929931641,0.0391853898763657,"12007",3.2367401,46.5,0.0027922865
64.4931564331055,0.232584238052368,"12008",5.2606301,5.4,0.008055623
91.2104644775391,0.116585560142994,"12009",14.6292,5.2,0.0064000195
50.6654968261719,0.548997759819031,"12010",5.3224902,7.7,0.00632835905
25.9962348937988,0.0495841018855572,"13001",4.1989899,68.7,0.10477252
28.3903185843605,18.3826112001292,"13002",5.20871948538379,8.9,0.036818645
71.6534105140941,0.0115323376625756,"15001",6.8153324976757,9.9,1.20537819
89.531120300293,0,"15002",7.9651499,4.3,0.268108925
56.4479179382324,5.57470321655273,"15021",4.2761798,8,0.008549833
28.3903185843605,18.3826112001292,"15024",5.20871948538379,13,0.00165313245
37.9257331829708,12.6017818730011,"15026",2.40878672436486,5.4,8.253307
51.9062042236328,4.32459688186646,"15028",3.0806,21.8,0.0033556859
49.3739738464355,12.7714338302612,"15029",3.0455401,22.9,0.00247846315
53.7171778702643,6.3330087921301,"15030",2.86572453370159,5.2,14.4556425
58.8558395305786,5.17761520495702,"15031",3.48215240107438,3.1,6.90658475
45.7535310878258,14.6583669875978,"15032",2.13718778693283,6.9,15.9728672
16.2460127633272,25.8238555248365,"15033",2.90169376530346,106.5,2.54271045
16.5948996295678,25.3497446648266,"15034",2.95477623973101,92.8,0.80803335
16.237741357768,25.2084196239654,"15037",3.00781464072751,96.4,1.12926985
72.2631225585938,1.14480113983154,"16002",6.3481202,6.9,0.00433175065
55.3948707580566,6.49703311920166,"16004",3.8299201,3.8,0.04200785
29.5167121887207,20.3317699432373,"16005",1.84025,18.5,0.03558312
14.7077646255493,57.5684928894043,"16006",1.13351,19.1,0.002125103
14.7077646255493,57.5684928894043,"16007",1.13351,13.4,0.0229560545
20.6156597137451,34.8924217224121,"16008",1.26273,10.1,0.045121373
83.3182525634766,0.309575647115707,"16009",5.9246802,7.6,0.00098842
83.3182525634766,0.309575647115707,"16010",5.9246802,10.2,0.00148263
77.9963080279027,2.34956742790575,"16013",6.3069141750131,6.6,5.732836
49.7975540161133,19.632396697998,"16014",2.23159,11.5,0.03508891
34.0860528061334,22.050280890991,"16017",1.53536952649829,13.4,1.721086325
24.4237194061279,22.4350528717041,"16018",1.57259,10.6,0.02718155
77.7010803222656,6.22895097732544,"16019",4.0735302,12.3,0.247105
43.732421875,12.7387971878052,"16021",3.15026,14.5,0.0020015505
28.3903185843605,18.3826112001292,"16023",5.20871948538379,6.1,0.01066752285
15.3777809143066,57.5347671508789,"16024",0.890361,7.8,0.0642473
41.0173759460449,15.3428115844727,"16027",1.6830699,10.5,0.0156911675
28.3903185843605,18.3826112001292,"16028",5.20871948538379,6.4,0.016556035
34.028018951416,32.0037803649902,"16029",1.83061,25.1,0.05275444645
38.8295059204102,42.5907707214355,"16030",3.4432001,46.7,0.014579195
56.200740814209,20.9022483825684,"16040",3.62131,6.3,0.03805417
10.8527894811206,70.6038255417754,"17003",0.950819738265122,8.6,0.345947
32.0518608093262,54.5081100463867,"17005",1.22458,11.4,0.023079607
30.1613693237305,49.8316802978516,"17006",1.72841,41.2,0.0044726005
6.87333811627818,80.7359316464384,"17007",1.02404528288163,16.6,0.216216875
22.4655704498291,60.8928375244141,"17008",1.12902,17.8,0.0022783081
11.8395624160767,67.3668594360352,"17012",0.957734,5.5,0.02435713985
21.9816360473633,62.2502098083496,"17014",1.12385,14.3,0.033952227
29.1805515289307,60.1594505310059,"17015",1.22844,11,0.00737114215
50.9229049682617,9.33846664428711,"17016",6.2177,9.3,0.004892679
21.4784870147705,66.9425430297852,"17019",1.32616,20.1,0.00233020015
48.2479553222656,26.4215660095215,"17021",5.4976401,13.3,0.05040942
41.9001235961914,31.292552947998,"17022",2.5834899,9.8,0.02273366
31.0357373054301,56.608523646421,"17023",2.059044186172,10,1.1959882
15.5461863674893,70.9645095917005,"17024",1.19674516917999,39.5,0.09983042
8.51944828033447,78.6566772460938,"17027",1.00576,9.1,0.00741315
66.1920700073242,15.0265789031982,"17029",7.3094702,20.7,0.010081884
28.3903185843605,18.3826112001292,"18001",5.20871948538379,5,0.0197931105
31.3860149383545,30.2683200836182,"18002",2.8303299,24.3,0.0155429045
62.3368877332693,2.42175608409906,"18003",7.16787970325412,15.5,0.51842629
57.230161888661,3.01199392834192,"18004",8.20874828792726,6.9,17.59634705
28.3903185843605,18.3826112001292,"18005",5.20871948538379,14.2,15.32051
52.2867503432055,6.75996908867957,"18006",7.21667908234949,27.1,3.95368
52.0464970785272,8.03076932680334,"18007",6.91383657112063,6.8,11.74490065
70.312972468407,3.22499395530401,"18010",12.3426178754101,10.4,6.029362
74.168625229236,2.68034414654532,"18011",13.8695848322115,3.1,15.69858065
