OID_,stand_id,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
1,lmvw1,1,261498.000000000000000,2351720.365115605760366,438.564086914062500,659.821044921875000,221.256958007812500,543.286352878014100,33.057289443653353,142068294.704894930124283,549.690093994140625,581.513543701171898
2,lmvw2,2,256601.000000000000000,2307680.354759996291250,438.452331542968750,625.308227539062500,186.855895996093750,546.890908670015165,32.549135978370686,140332754.055634558200836,552.080383300781250,586.828674316406250
3,lmvw3,3,36911.000000000000000,331950.341481702052988,527.535583496093750,620.887207031250000,93.351623535156250,566.943976623632466,14.901181106579431,20926469.121154896914959,567.667968750000000,586.092346191406250
