OID_,stand_id,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
1,lmvw1,1,261137.000000000000000,218181.227831817494007,0.002376712625846,359.998809814453125,359.996433101827279,116.874470652419205,60.413133893754576,30520248.642760794609785,109.107788085937500,190.316583251953119
2,lmvw2,2,255706.000000000000000,213643.601036860811291,0.005274798255414,359.991607666015625,359.986332867760211,256.411602394633860,60.584875012804723,65565985.201922245323658,261.243865966796875,319.240310668945312
3,lmvw3,3,36799.000000000000000,30745.742667576989334,0.057379152625799,359.983581542968750,359.926202390342951,108.931369485978706,95.347692041232946,4008565.465714530553669,70.712158203125000,304.248303222656261
