OID_,stand_id,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
1,lmt1,1,452576.000000000000000,4070135.128997393418103,451.656738281250000,603.038330078125000,151.381591796875000,515.596414755381829,25.732364059894692,233346563.004331678152084,521.054443359375000,536.589447021484375
2,lmt2,2,96807.000000000000000,870610.839798952336423,450.825958251953125,494.606323242187500,43.780364990234375,472.776089465462690,5.117912176934338,45768034.892883047461510,471.710693359375000,480.716564941406318
3,lmt3,3,51014.000000000000000,458782.333731070626527,465.493438720703125,509.842834472656250,44.349395751953125,489.349532095189943,10.417735959227027,24963677.030304018408060,484.583267211914062,506.033618164062489
4,lmt4,4,11731.000000000000000,105499.971713631355669,505.151672363281250,531.752868652343750,26.601196289062500,519.033968166422596,6.441335833015137,6088787.480560303665698,520.886596679687500,527.397644042968750
5,lmt5,5,92844.000000000000000,834970.537360872025602,505.362670898437500,636.979736328125000,131.617065429687500,557.143607111436154,22.880743718929487,51727441.058654181659222,545.771453857421875,592.094628906250023
6,lmt6,6,27044.000000000000000,243213.812549948546803,534.543762207031250,569.742126464843750,35.198364257812500,548.823710386999892,6.268199195224554,14842388.423706024885178,548.376037597656250,558.061645507812500
7,lmt7,7,93429.000000000000000,840231.596388446283527,528.568725585937500,628.318908691406250,99.750183105468750,554.438120727576802,15.380776540211935,51800599.181456774473190,549.105895996093750,575.959045410156250
