OID_,stand_id,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
1,lmt1,1,452017.000000000000000,377662.392004406312481,0.000000000000000,359.995758056640625,359.995758056640625,165.992951420592902,111.883653056117268,75031635.922282144427299,134.141647338867188,319.242669677734398
2,lmt2,2,96689.000000000000000,80784.127633505020640,0.008308992721140,359.993957519531250,359.985648526810110,194.985024594061770,111.790322228408584,18852907.042975239455700,224.743530273437500,328.869763183593761
3,lmt3,3,50961.000000000000000,42578.162234908311802,0.013670383021235,359.996856689453125,359.983186306431890,207.975515322331717,110.420449039890272,10598640.236341346055269,259.943908691406250,330.390228271484375
4,lmt4,4,11718.000000000000000,9790.445734358736445,0.000000000000000,359.918060302734375,359.918060302734375,197.553317999775544,101.372500865916891,2314929.780321369878948,240.458160400390625,300.790408325195358
5,lmt5,5,92719.000000000000000,77467.173412187039503,0.000000000000000,359.998352050781250,359.998352050781250,149.833776350467389,113.477330331941815,13892437.909438986331224,112.758926391601562,329.344769287109386
6,lmt6,6,27026.000000000000000,22580.353850211573445,0.015883842483163,359.987396240234375,359.971512397751212,151.831643400340113,120.936242007443269,4103401.994537591934204,92.863960266113281,325.536437988281250
7,lmt7,7,93257.000000000000000,77916.675016990324366,0.000000000000000,359.990478515625000,359.990478515625000,196.124166173493990,106.257601363856338,18289951.364841528236866,243.668334960937500,316.473443603515648
