OID_,stand_id,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
1,lmvw1,1,261137.000000000000000,218181.227831817494007,0.007446943316609,84.585884094238281,84.578437150921673,19.125257104187153,11.514830530552214,4994312.264416120015085,17.486326217651367,34.720746612548822
2,lmvw2,2,255706.000000000000000,213643.601036860811291,0.008696378208697,86.102996826171875,86.094300447963178,23.144395462751007,14.387022144036770,5918160.786198209039867,20.921795845031738,42.788921356201172
3,lmvw3,3,36799.000000000000000,30745.742667576989334,0.015212643891573,70.068679809570312,70.053467165678740,22.880766994926937,14.873770291037625,841989.344646316370927,24.156539916992188,40.912760162353514
