"y","count","mean_co2","lwr_co2","upr_co2","mean_c","lwr_c","upr_c","sed_ch4_co2_eq","sed_ch4_gC","sed_ch4_co2_eq_pore","sed_ch4_gC_pore"
0.0833333333333333,9995,5.53695904489563,-14.2852014705133,21.9902022599397,0.121935745432735,-0.31459085679343,0.484271543827703,"6 (-14 - 22)","0.1 (-0.3 - 0.5)","373 (354 - 390)","8.2 (7.8 - 8.6)"
1,9995,66.4435085387476,-171.42241764616,263.882427119277,1.46322894519282,-3.77509028152117,5.81125852593245,"66 (-171 - 264)","1.5 (-3.8 - 5.8)","434 (196 - 632)","9.6 (4.3 - 13.9)"
5,9995,332.217542693738,-857.1120882308,1319.41213559638,7.31614472596411,-18.8754514076058,29.0562926296622,"332 (-857 - 1319)","7.3 (-18.9 - 29.1)","700 (-489 - 1687)","15.4 (-10.8 - 37.2)"
10,9995,664.435085387475,-1714.2241764616,2638.82427119277,14.6322894519282,-37.7509028152116,58.1125852593243,"664 (-1714 - 2639)","14.6 (-37.8 - 58.1)","1032 (-1346 - 3007)","22.7 (-29.6 - 66.2)"
30,9995,1993.30525610023,-5142.67252938054,7916.472813577,43.896868354415,-113.252708445541,174.337755777944,"1993 (-5143 - 7916)","43.9 (-113.3 - 174.3)","2361 (-4775 - 8284)","52 (-105.2 - 182.4)"
