dam,period,flux,variation,flux_fmt_CO2-eq,flux_fmt_C,mf_fmt_CO2-eq,mf_fmt_C
Glines Canyon,before,reservoir emissions,without degassing,"72.5 (63.5, 81.5)","10.6 (9.31, 11.9)","110 (95.9, 123)","16 (14.1, 18)"
Glines Canyon,before,reservoir burial,,"-7690 (-1760, -22900)","-2100 (-480, -6240)","-11600 (-2660, -34500)","-3170 (-725, -9420)"
Glines Canyon,burp,exposed sediment CO2,1 month,"25 (13, 37)","7 (4, 10)","33.6 (17.5, 49.7)","9.4 (5.37, 13.4)"
Glines Canyon,burp,exposed sediment CO2,1 year,"301 (152, 450)","82 (41, 123)","404 (204, 604)","110 (55, 165)"
Glines Canyon,burp,exposed sediment CO2,5 years,"1510 (762, 2250)","411 (208, 614)","2020 (1020, 3020)","552 (279, 824)"
Glines Canyon,burp,exposed sediment CO2,10 years,"3010 (1520, 4500)","822 (415, 1230)","4050 (2050, 6050)","1100 (557, 1650)"
Glines Canyon,burp,exposed sediment CO2,30 years,"9040 (4570, 13500)","2470 (1250, 3690)","12100 (6140, 18100)","3310 (1680, 4950)"
Glines Canyon,burp,exposed sediment CH4,"no pore emissions, 1 month","5.06 (-14.5, 21.9)","0.111 (-0.32, 0.483)","6.79 (-19.5, 29.4)","0.149 (-0.429, 0.649)"
Glines Canyon,burp,exposed sediment CH4,"no pore emissions, 1 year","60.7 (-174, 263)","1.34 (-3.84, 5.8)","81.4 (-234, 353)","1.79 (-5.15, 7.78)"
Glines Canyon,burp,exposed sediment CH4,"no pore emissions, 5 years","303 (-871, 1320)","6.68 (-19.2, 29)","407 (-1170, 1770)","8.97 (-25.7, 38.9)"
Glines Canyon,burp,exposed sediment CH4,"no pore emissions, 10 years","607 (-1740, 2630)","13.4 (-38.4, 58)","814 (-2340, 3530)","17.9 (-51.5, 77.8)"
Glines Canyon,burp,exposed sediment CH4,"no pore emissions, 30 years","1820 (-5230, 7900)","40.1 (-115, 174)","2440 (-7020, 10600)","53.8 (-154, 233)"
Glines Canyon,burp,exposed sediment CH4,"pore emissions, 1 month","373 (353, 390)","8.21 (7.78, 8.59)","501 (474, 523)","11 (10.4, 11.5)"
Glines Canyon,burp,exposed sediment CH4,"pore emissions, 1 year","429 (194, 631)","9.44 (4.27, 13.9)","575 (260, 847)","12.7 (5.73, 18.7)"
Glines Canyon,burp,exposed sediment CH4,"pore emissions, 5 years","671 (-503, 1680)","14.8 (-11.1, 37.1)","901 (-675, 2260)","19.8 (-14.9, 49.8)"
