"y","count","mean_co2","lwr_co2","upr_co2","mean_c","lwr_c","upr_c","sed_co2_eq","sed_gC"
0.0833333333333333,10000,14.4928497640574,0.611242551573707,82.6087361676864,3.95499035824425,0.166803522935702,22.5433065524634,"14 (1 - 83)","4 (0.2 - 22.5)"
1,10000,173.914197168689,7.33491061888444,991.304834012234,47.459884298931,2.0016422752284,270.51967862956,"174 (7 - 991)","47.5 (2 - 270.5)"
5,10000,869.570985843445,36.6745530944222,4956.52417006117,237.299421494655,10.008211376142,1352.5983931478,"870 (37 - 4957)","237.3 (10 - 1352.6)"
10,10000,1739.14197168689,73.3491061888443,9913.04834012234,474.59884298931,20.016422752284,2705.1967862956,"1739 (73 - 9913)","474.6 (20 - 2705.2)"
30,10000,5217.42591506063,220.047318246077,29739.145020367,1423.79652896792,60.049268169402,8115.5903588868,"5217 (220 - 29739)","1423.8 (60 - 8115.6)"
