"period","flux","variation","flux_unit","annual","area","mean","ci_lwr","ci_upr","area_m2","mean_area","ci_lwr_area","ci_upr_area","flux_fct"
"burp","exposed sediment CH4","pore_10","CO2-eq","no","exposed sediment area",973.144706212679,-1383.43773178473,3010.58243201843,145588.055431883,141678245.431335,-201412009.181634,438304841.994952,"exposed sediment CH4"
"burp","exposed sediment CH4","pore_30","CO2-eq","no","exposed sediment area",2183.61133887314,-4886.13597503379,8295.92451637039,145588.055431883,317907728.64555,-711363035.180937,1207787518.34805,"exposed sediment CH4"
"burp","exposed sediment CH4","pore_100","CO2-eq","no","exposed sediment area",6415.4884975136,-17141.5171596393,26790.7732311382,145588.055431883,934018494.998617,-2495600150.42414,3900416578.23795,"exposed sediment CH4"
"burp","exposed sediment CH4","pore_0.0833333333333333","C","no","exposed sediment area",8.21327115987015,7.78079605045697,8.58717749524078,145588.055431883,1195754.17690026,1132790.9666981,1250190.47318053,"exposed sediment CH4"
"burp","exposed sediment CH4","pore_1","C","no","exposed sediment area",9.43505391844181,4.24535260548359,13.9219299428893,145588.055431883,1373631.15288091,618072.630455033,2026866.70824416,"exposed sediment CH4"
"burp","exposed sediment CH4","pore_5","C","no","exposed sediment area",14.7664695922091,-11.182036972582,37.2008497144467,145588.055431883,2149821.59352375,-1627971.01860563,5415999.37034001,"exposed sediment CH4"
"burp","exposed sediment CH4","pore_10","C","no","exposed sediment area",21.4307391844181,-30.4662739451641,66.2994994288934,145588.055431883,3120059.64432729,-4435525.57993148,9652415.19795982,"exposed sediment CH4"
"burp","exposed sediment CH4","pore_30","C","no","exposed sediment area",48.0878175514639,-107.603221835404,182.694098286652,145588.055431883,7001011.8472808,-15665743.825222,26598078.5084349,"exposed sediment CH4"
"burp","exposed sediment CH4","pore_100","C","no","exposed sediment area",141.282853262319,-377.493070792263,589.990440270592,145588.055431883,20569095.8723291,-54958482.1156557,85895560.9223959,"exposed sediment CH4"
"burp","drawdown ebullition","0","CO2-eq","no","reservoir",0,0,0,1648901.87482021,0,0,0,"drawdown ebullition"
"burp","drawdown ebullition","5","CO2-eq","no","reservoir",43.45,37.6213414634146,49.2786585365854,1648901.87482021,71644786.4609381,62033900.4722757,81255672.4496005,"drawdown ebullition"
"burp","drawdown ebullition","10","CO2-eq","no","reservoir",86.9,75.2426829268293,98.5573170731707,1648901.87482021,143289572.921876,124067800.944551,162511344.899201,"drawdown ebullition"
"burp","drawdown ebullition","25","CO2-eq","no","reservoir",217.25,188.106707317073,246.393292682927,1648901.87482021,358223932.30469,310169502.361378,406278362.248003,"drawdown ebullition"
"burp","drawdown ebullition","100","CO2-eq","no","reservoir",869,752.426829268293,985.573170731707,1648901.87482021,1432895729.21876,1240678009.44551,1625113448.99201,"drawdown ebullition"
"burp","drawdown ebullition","0","C","no","reservoir",0,0,0,1648901.87482021,0,0,0,"drawdown ebullition"
"burp","drawdown ebullition","5","C","no","reservoir",0.956862439489511,0.828502843948236,1.08522203503079,1648901.87482021,1577772.27041929,1366119.89268012,1789424.64815847,"drawdown ebullition"
"burp","drawdown ebullition","10","C","no","reservoir",1.91372487897902,1.65700568789647,2.17044407006158,1648901.87482021,3155544.54083859,2732239.78536024,3578849.29631694,"drawdown ebullition"
"burp","drawdown ebullition","25","C","no","reservoir",4.78431219744756,4.14251421974118,5.42611017515394,1648901.87482021,7888861.35209647,6830599.46340061,8947123.24079234,"drawdown ebullition"
"burp","drawdown ebullition","100","C","no","reservoir",19.1372487897902,16.5700568789647,21.7044407006157,1648901.87482021,31555445.4083859,27322397.8536024,35788492.9631694,"drawdown ebullition"
"burp","eroded sediment emissions",NA,"CO2-eq","no","reservoir",130.224949052709,2.96208694430068,626.580325574438,1648901.87482021,214728162.641378,4884190.71583786,1033169473.56515,"eroded sediment emissions"
