"period","flux","variation","flux_unit","annual","area","mean","ci_lwr","ci_upr","area_m2","mean_area","ci_lwr_area","ci_upr_area","flux_fct"
"before","reservoir emissions",NA,"CO2-eq","yes","reservoir",82,71,93,1648901.87482021,135209953.735257,117072033.112235,153347874.358279,"reservoir emissions"
"before","reservoir emissions",NA,"C","yes","reservoir",2.55842746325973,2.24089569827217,2.87595922824729,1648901.87482021,4218595.84076048,3695017.11815752,4742174.56336344,"reservoir emissions"
"before","reservoir burial",NA,"CO2-eq","yes","reservoir",-49.0858022706448,-262.991969609134,-1.22932074137672,1648901.87482021,-80937671.3911203,-433647951.751161,-2027029.27521145,"reservoir burial"
"before","reservoir burial",NA,"C","yes","reservoir",-13.3951484951248,-71.7685424904726,-0.335472440443864,1648901.87482021,-22087285.4671064,-118339284.265654,-553161.135998399,"reservoir burial"
"burp","exposed sediment CO2","0.0833333333333333","CO2-eq","no","exposed sediment area",25,13,37,145588.055431883,3639701.38579707,1892644.72061448,5386758.05097967,"exposed sediment CO2"
"burp","exposed sediment CO2","1","CO2-eq","no","exposed sediment area",301,152,450,145588.055431883,43822004.6849967,22129384.4256462,65514624.9443473,"exposed sediment CO2"
"burp","exposed sediment CO2","5","CO2-eq","no","exposed sediment area",1507,762,2252,145588.055431883,219401199.535847,110938098.239095,327864300.8326,"exposed sediment CO2"
"burp","exposed sediment CO2","10","CO2-eq","no","exposed sediment area",3014,1525,4503,145588.055431883,438802399.071695,222021784.533621,655583013.609769,"exposed sediment CO2"
"burp","exposed sediment CO2","30","CO2-eq","no","exposed sediment area",9042,4574,13510,145588.055431883,1316407197.21508,665919765.545432,1966894628.88474,"exposed sediment CO2"
"burp","exposed sediment CO2","100","CO2-eq","no","exposed sediment area",30138,15244,45032,145588.055431883,4387732814.60609,2219344317.00362,6556121312.20855,"exposed sediment CO2"
"burp","exposed sediment CO2","0.0833333333333333","C","no","exposed sediment area",7,4,10,145588.055431883,1019116.38802318,582352.221727531,1455880.55431883,"exposed sediment CO2"
"burp","exposed sediment CO2","1","C","no","exposed sediment area",82,41,123,145588.055431883,11938220.5454144,5969110.2727072,17907330.8181216,"exposed sediment CO2"
"burp","exposed sediment CO2","5","C","no","exposed sediment area",411,208,614,145588.055431883,59836690.7825039,30282315.5298316,89391066.0351761,"exposed sediment CO2"
"burp","exposed sediment CO2","10","C","no","exposed sediment area",822,415,1229,145588.055431883,119673381.565008,60419043.0042314,178927720.125784,"exposed sediment CO2"
"burp","exposed sediment CO2","30","C","no","exposed sediment area",2467,1248,3686,145588.055431883,359165732.750455,181693893.17899,536637572.32192,"exposed sediment CO2"
"burp","exposed sediment CO2","100","C","no","exposed sediment area",8224,4160,12288,145588.055431883,1197316167.8718,605646310.596633,1788986025.14698,"exposed sediment CO2"
"burp","exposed sediment CH4","no_pore_0.0833333333333333","CO2-eq","no","exposed sediment area",5.05594194079335,-14.5154731736788,21.9368801371523,145588.055431883,736084.755536604,-2113279.51302956,3193747.7214103,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_1","CO2-eq","no","exposed sediment area",60.6713032895202,-174.185678084145,263.242561645828,145588.055431883,8833017.06643924,-25359354.1563546,38324972.6569236,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_5","CO2-eq","no","exposed sediment area",303.356516447601,-870.928390420726,1316.21280822914,145588.055431883,44165085.3321962,-126796770.781773,191624863.284618,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_10","CO2-eq","no","exposed sediment area",606.713032895202,-1741.85678084145,2632.42561645827,145588.055431883,88330170.6643924,-253593541.563546,383249726.569235,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_30","CO2-eq","no","exposed sediment area",1820.13909860487,-5225.57034252028,7897.27684937352,145588.055431883,264990511.981423,-760780624.690046,1149749179.70752,"exposed sediment CH4"
