Site,Lat,Long,NEP,GPP,Age,MAT,P,NA,Dist,Years
IT-SR2,43.732,10.291,351.58,2343.56,64,15.47,1328.66,L,1,2013-2014
IT-SRo,43.727,10.284,369.82,1931.9,54,15.38,820.96,L,1,1999-2012
JP-Tak,36.146,137.423,308.2,1087.49,72,6.6,2.26,H,1,1999-2004
JP-Tef,45.056,142.106,-307.58,979.21,84,5.88,965.85,L,4,2001-2011
JP-Tom,42.739,141.514,331.19,1710.27,48,6.28,1065.99,L,1,2001-2003
MY-PSO,2.973,102.306,129.89,2554.45,106,25.34,1864.85,L,1,2003-2009
NL-Loo,52.166,5.743,450.75,1637.4,106,10.08,803.22,M,1,1996-2014
PA-SPn,9.318,-79.634,441.8,2088.3,7,25.16,2073.59,M,1,2007-2009
PT-Esp,38.639,-8.601,629.21,1842.15,12,16.36,592.53,L,1,2002-2006
PT-Mi1,38.54,-8,-39.88,828.81,88,15.8,243.84,L,1,2003-2005
RU-Fyo,56.461,32.922,-137.79,1496.93,236,5.23,560.63,L,1,1998-2013
SE-Fla,64.112,19.456,59.17,704.12,37,3.06,703.79,L,1,1996-2002
SE-Nor,60.086,17.479,-75.49,1155.43,105,6.06,703.73,L,1,1996-2005
SE-Sk1,60.125,17.918,-186.43,461.16,2,9.3,0.59,H,1,2005
SE-Sk2,60.129,17.84,66.34,674.11,33,6.69,0.58,H,1,2004-2005
UK-Gri,56.607,-3.798,515.53,1710.6,21,7.48,1115.84,H,1,1997-2006
UK-Ham,51.12,-0.86,595.09,2111.61,64,10.47,796.7,H,1,2004-2005
US-Bar,44.064,-71.288,367.15,1102.15,128,7.15,1254.52,M,1,2004-2005
US-Blo,38.895,-120.632,176.75,1965.2,13,10.97,1526.95,L,1,1997-2007
US-Bn1,63.919,-145.378,268.68,524.4,83,-1.1,249.15,L,1,2003
US-Bn2,63.919,-145.378,239.81,512.99,16,-0.48,249.15,L,1,2003
US-Bn3,63.922,-145.744,91.85,238.46,4,-0.71,249.15,L,1,2003
US-Dk3,35.978,-79.094,756.04,2245.52,21,14.95,1037.37,L,1,2001-2005
US-GBT,41.365,-106.239,528.98,718.88,176,-0.03,424.41,M,1,1999-2006
US-GLE,41.366,-106.239,-83.52,618.81,184,-0.03,1405.35,M,1,2004-2014
US-Ha1,42.537,-72.171,199.79,1506.46,96,8.32,1139.66,L,1,1991-2012
US-Ho1,45.204,-68.74,255.5,1468.32,206,6.6,815.29,L,1,1996-2014
US-Ho2,45.209,-68.747,231.09,1342.73,208,6.51,787.37,L,1,1999-2009
US-Los,46.082,-89.979,48.07,783.45,35,4.92,729.34,L,1,2000-2014
US-LPH,42.541,-72.184,368.35,1233.06,98,7.33,2520.5,M,1,2002-2005
US-Me2,44.452,-121.557,604.98,1616.96,94,7.31,457.49,M,1,2002-2014
US-Me3,44.315,-121.607,48.02,781.76,20,8.2,367.11,M,1,2004-2005
US-Me5,44.437,-121.566,137.85,818.46,24,7.89,412.9,M,1,2000-2002
US-Me6,44.323,-121.607,180.66,882.75,22,7.71,409.02,M,1,2010-2012
US-MMS,39.323,-86.413,423.08,1718.92,95,12.41,1084.11,M,1,1999-2014
US-MOz,38.744,-92.199,353.74,1424.79,78,13.52,873.63,L,1,2004-2014
US-NC1,35.811,-76.711,-178.28,1629.06,2,15.59,1056.09,M,1,2005-2009
US-NC2,35.803,-76.667,936.24,2724.41,14,15.92,1272.59,M,1,2005-2009
US-NR1,40.032,-105.546,168.94,846.05,110,2.28,726.36,L,1,1998-2014
US-Oho,41.554,-83.843,827.98,1776.81,50,10.52,818.23,L,1,2004-2013
US-PFa,45.945,-90.272,9.37,959.85,150,5.72,600.94,H,1,1995-2014
US-Prr,65.123,-147.487,123.43,496.91,98,-2.02,382.16,L,1,2010-2014
US-SO2,33.373,-116.622,59.07,283.07,2,14.43,532.54,M,4,1997-2006
US-SO3,33.377,-116.622,86.86,341.03,2,14.79,454,M,4,1997-2006
US-SP1,29.738,-82.218,161.84,1722.32,63,19.73,53.86,L,1,2000-2005
US-SP2,29.764,-82.244,162,2178.24,4,19.7,1118.41,L,1,1998-2004
US-SP3,29.754,-82.163,542.14,1875.13,12,20.14,1075.6,L,1,1999-2004
US-SRM,31.821,-110.866,-24.81,283.18,201,19.01,333.19,L,1,2004-2014
US-Syv,46.242,-89.347,80.38,1171.41,300,3.92,692.48,L,1,2001-2014
US-UMB,45.559,-84.713,268.69,1299.05,93,7.15,613.06,L,1,2000-2014
US-UMd,45.562,-84.697,316.98,1332.29,90,7.36,727.64,L,1,2007-2014
US-WBW,35.958,-84.287,815.94,1453.8,110,14.64,1.52,L,1,1995-1999
US-WCr,45.805,-90.079,282.37,1173.52,96,5.77,695.24,M,1,1999-2014
US-Wrc,45.82,-121.952,347.08,1625.95,300,9.41,2139.87,M,1,1998-2006
VU-Coc,-15.443,167.192,358.24,3499.22,20,24.71,2734.43,H,1,2001-2004
ZM-Mon,-15.434,23.253,-147.63,1566.22,88,22.2,682.8,M,4,2000-2009
